symbol,exchange,date,call/put,expiration,strike,style,bid,ask,mean price,iv,volume,open interest,delta,gamma,theta,vega,rho,stock price for iv
SPX,CBOE,2024-06-03,P,2024-06-04,4900,E,8.5,9.5,9.0,0.15,1200,8000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,4925,E,12.5,13.5,13.0,0.15,1100,7000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,4950,E,17.5,18.5,18.0,0.15,1000,6000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,4975,E,23.5,24.5,24.0,0.15,900,5000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,5000,E,29.5,30.5,30.0,0.15,800,4000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,5025,E,23.5,24.5,24.0,0.15,700,3500,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,5050,E,17.5,18.5,18.0,0.15,600,3000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,5075,E,12.5,13.5,13.0,0.15,500,2500,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,P,2024-06-04,5100,E,8.5,9.5,9.0,0.15,400,2000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,4900,E,8.5,9.5,9.0,0.15,400,2000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,4925,E,12.5,13.5,13.0,0.15,500,2500,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,4950,E,17.5,18.5,18.0,0.15,600,3000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,4975,E,23.5,24.5,24.0,0.15,700,3500,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,5000,E,29.5,30.5,30.0,0.15,800,4000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,5025,E,23.5,24.5,24.0,0.15,900,5000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,5050,E,17.5,18.5,18.0,0.15,1000,6000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,5075,E,12.5,13.5,13.0,0.15,1100,7000,0.00,0,0,0,0,5000.00
SPX,CBOE,2024-06-03,C,2024-06-04,5100,E,8.5,9.5,9.0,0.15,1200,8000,0.00,0,0,0,0,5000.00
