#,date,signal_time,direction,setup,conviction,why_entered,underlying_at_entry,structure,option_type,long_strike,short_strike,debit_paid,max_loss,exit_reason,exit_time,settle_close,pnl_$,return_on_risk_%,result
1,2023-07-12,11:42,long,failed_a,1,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4465.68,bull call spread 4465/4490,call,4465.0,4490.0,7.0,700.0,hit +50% target,12:50,4481.49,395.0,56.4,WIN
2,2023-07-14,10:49,long,failed_a,2,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4511.06,bull call spread 4510/4535,call,4510.0,4535.0,7.25,725.0,hit +50% target,11:32,4507.15,375.0,51.7,WIN
3,2023-07-17,11:42,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4519.31,bear put spread 4520/4495,put,4520.0,4495.0,5.45,545.0,hit -50% stop,13:51,4522.16,-280.0,-51.4,LOSS
4,2023-08-03,11:32,short,failed_a,2,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4506.56,bear put spread 4505/4480,put,4505.0,4480.0,6.0,600.0,hit -50% stop,12:42,4514.88,-330.0,-55.0,LOSS
5,2023-08-25,10:16,short,failed_a_pivot,3,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down. The failed level sat on the prior-day pivot range (two signals agreeing -> higher conviction).",4407.75,bear put spread 4410/4385,put,4410.0,4385.0,8.2,820.0,hit +50% target,10:21,4406.03,440.0,53.7,WIN
6,2023-08-28,11:46,long,failed_a,2,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4418.04,bull call spread 4420/4445,call,4420.0,4445.0,6.25,625.0,hit +50% target,12:53,4434.33,360.0,57.6,WIN
7,2023-09-08,10:31,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4471.4,bear put spread 4470/4445,put,4470.0,4445.0,5.5,550.0,hit +50% target,10:42,4468.34,280.0,50.9,WIN
8,2023-09-22,11:40,short,failed_a,3,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4355.72,bear put spread 4355/4330,put,4355.0,4330.0,5.45,545.0,hit +50% target,11:54,4325.88,310.0,56.9,WIN
9,2023-10-02,11:31,short,failed_a_pivot,4,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down. The failed level sat on the prior-day pivot range (two signals agreeing -> higher conviction).",4299.82,bear put spread 4300/4275,put,4300.0,4275.0,6.9,690.0,hit +50% target,11:39,4293.78,390.0,56.5,WIN
10,2023-10-12,10:02,long,failed_a,2,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4365.07,bull call spread 4365/4390,call,4365.0,4390.0,8.55,855.0,hit +50% target,10:28,4352.42,495.0,57.9,WIN
11,2023-10-24,10:50,short,failed_a,3,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4257.18,bear put spread 4255/4230,put,4255.0,4230.0,6.3,630.0,hit +50% target,11:16,4251.52,320.0,50.8,WIN
12,2023-10-27,10:43,long,failed_a,1,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4135.18,bull call spread 4135/4160,call,4135.0,4160.0,7.8,780.0,hit +50% target,10:58,4118.0,430.0,55.1,WIN
13,2023-10-30,10:45,long,failed_a,1,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4135.93,bull call spread 4135/4160,call,4135.0,4160.0,8.8,880.0,hit +50% target,11:05,4166.3,450.0,51.1,WIN
14,2023-11-10,11:17,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4376.96,bear put spread 4375/4350,put,4375.0,4350.0,5.15,515.0,hit -50% stop,12:11,4416.63,-260.0,-50.5,LOSS
15,2023-11-16,10:02,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4511.42,bear put spread 4510/4485,put,4510.0,4485.0,6.25,625.0,hit +50% target,10:19,4510.53,345.0,55.2,WIN
16,2023-11-16,11:31,long,failed_a,4,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4489.55,bull call spread 4490/4515,call,4490.0,4515.0,6.5,650.0,hit +50% target,12:14,4510.53,345.0,53.1,WIN
17,2023-11-21,10:29,long,failed_a,3,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4527.06,bull call spread 4525/4550,call,4525.0,4550.0,7.35,735.0,hit +50% target,12:12,4535.18,405.0,55.1,WIN
18,2023-12-07,10:31,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4582.78,bear put spread 4585/4560,put,4585.0,4560.0,7.0,700.0,hit +50% target,11:16,4602.5,370.0,52.9,WIN
19,2023-12-08,10:18,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4603.41,bear put spread 4605/4580,put,4605.0,4580.0,7.0,700.0,hit +50% target,10:36,4611.28,480.0,68.6,WIN
20,2023-12-19,11:13,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4763.69,bear put spread 4765/4740,put,4765.0,4740.0,5.6,560.0,hit +50% target,12:01,4773.74,325.0,58.0,WIN
21,2024-01-24,10:04,long,failed_a,3,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4880.13,bull call spread 4880/4905,call,4880.0,4905.0,6.75,675.0,hit +50% target,10:14,4865.87,340.0,50.4,WIN
22,2024-01-26,11:01,short,failed_a,1,"SPX broke ABOVE the A-trigger (a bullish breakout signal) then failed to hold it -> faded SHORT, betting the failed breakout reverses down.",4906.01,bear put spread 4905/4880,put,4905.0,4880.0,6.25,625.0,hit +50% target,11:43,4889.31,320.0,51.2,WIN
23,2024-02-01,11:01,long,failed_a,3,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4856.42,bull call spread 4855/4880,call,4855.0,4880.0,8.65,865.0,hit +50% target,11:35,4922.46,435.0,50.3,WIN
24,2024-02-06,10:06,long,failed_a,3,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",4939.89,bull call spread 4940/4965,call,4940.0,4965.0,7.6,760.0,hit -50% stop,14:15,4949.7,-410.0,-53.9,LOSS
25,2024-02-26,11:08,long,failed_a,3,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",5082.57,bull call spread 5085/5110,call,5085.0,5110.0,5.25,525.0,hit -50% stop,13:27,5069.82,-295.0,-56.2,LOSS
26,2024-03-06,10:07,long,failed_a,3,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",5095.7,bull call spread 5095/5120,call,5095.0,5120.0,8.9,890.0,hit +50% target,10:52,5104.82,510.0,57.3,WIN
27,2024-04-12,10:53,long,failed_a,1,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",5147.41,bull call spread 5145/5170,call,5145.0,5170.0,8.7,870.0,hit -50% stop,12:39,5132.48,-465.0,-53.4,LOSS
28,2024-04-16,10:38,long,failed_a,1,"SPX broke BELOW the A-trigger (a bearish breakout signal) then failed to hold it -> faded LONG, betting the failed breakdown snaps back up.",5047.72,bull call spread 5050/5075,call,5050.0,5075.0,9.2,920.0,hit +50% target,11:55,5054.1,550.0,59.8,WIN
